edge_id,node_name,time_slot,edge_name_description,group_name,role
1,The Lookout,2040-10-01 08:09:00,"Hey The Intern, it's The Lookout! Just spotted a pod of dolphins near the eastern point this morning. They were so playful! If you're free this weekend, the migratory birds are starting to arrive too. Let me know if you want to join for some birdwatching!",4,pseudonym
1,The Intern,2040-10-01 08:09:00,"Hey The Intern, it's The Lookout! Just spotted a pod of dolphins near the eastern point this morning. They were so playful! If you're free this weekend, the migratory birds are starting to arrive too. Let me know if you want to join for some birdwatching!",4,pseudonym
2,The Intern,2040-10-01 08:10:00,"Hey The Lookout, The Intern here! I'd absolutely love to join you for birdwatching this weekend! Those dolphins sound amazing. What time were you thinking? I'll bring my new binoculars that Mrs. Money helped me pick out.",4,pseudonym
2,The Lookout,2040-10-01 08:10:00,"Hey The Lookout, The Intern here! I'd absolutely love to join you for birdwatching this weekend! Those dolphins sound amazing. What time were you thinking? I'll bring my new binoculars that Mrs. Money helped me pick out.",4,pseudonym
3,Kelly,2040-10-01 08:13:00,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for birdwatching. Bring your new binoculars and some water. I've heard there might be some rare shorebirds passing through this weekend. Can't wait!",4,pseudonym
3,Sam,2040-10-01 08:13:00,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for birdwatching. Bring your new binoculars and some water. I've heard there might be some rare shorebirds passing through this weekend. Can't wait!",4,person
5,The Intern,2040-10-01 08:16:00,"Mrs. Money, it's The Intern. Just checking in to see what tasks you need help with today. Also, I'll be birdwatching with The Lookout this weekend. Should I reschedule if you need me for anything?",1,pseudonym
5,Mrs. Money,2040-10-01 08:16:00,"Mrs. Money, it's The Intern. Just checking in to see what tasks you need help with today. Also, I'll be birdwatching with The Lookout this weekend. Should I reschedule if you need me for anything?",1,pseudonym
6,Mrs. Money,2040-10-01 08:19:00,"Boss, it's Mrs. Money. I've reviewed our operational funding for the upcoming projects. Need to discuss allocation priorities before our meeting with The Middleman next week. Are you available tomorrow afternoon?",4,pseudonym
6,Boss,2040-10-01 08:19:00,"Boss, it's Mrs. Money. I've reviewed our operational funding for the upcoming projects. Need to discuss allocation priorities before our meeting with The Middleman next week. Are you available tomorrow afternoon?",4,pseudonym
7,Boss,2040-10-01 08:21:00,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to discuss funding allocations. Bring the updated projections for our tourism ventures. We need to ensure everything looks legitimate before meeting The Middleman next week.",4,pseudonym
7,Mrs. Money,2040-10-01 08:21:00,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to discuss funding allocations. Bring the updated projections for our tourism ventures. We need to ensure everything looks legitimate before meeting The Middleman next week.",4,pseudonym
8,Mrs. Money,2040-10-01 08:24:00,"Boss, Mrs. Money here. I'll bring the updated projections for tomorrow at 3PM. I've noted some interesting opportunities near Nemo Reef in our tourism portfolio. Should we discuss allocating additional resources there specifically?",4,pseudonym
8,Boss,2040-10-01 08:24:00,"Boss, Mrs. Money here. I'll bring the updated projections for tomorrow at 3PM. I've noted some interesting opportunities near Nemo Reef in our tourism portfolio. Should we discuss allocating additional resources there specifically?",4,pseudonym
9,Boss,2040-10-01 08:26:00,"Middleman, this is Boss. I'd like to move our meeting forward to discuss some promising opportunities near Nemo Reef. My accountant has identified potential for expansion there. Can you meet earlier than planned?",4,pseudonym
9,The Middleman,2040-10-01 08:26:00,"Middleman, this is Boss. I'd like to move our meeting forward to discuss some promising opportunities near Nemo Reef. My accountant has identified potential for expansion there. Can you meet earlier than planned?",4,pseudonym
10,The Middleman,2040-10-01 08:29:00,"Boss, this is The Middleman. I can meet earlier as requested. Nemo Reef discussion is timely - I've noted increased interest in that area. Have some council updates that might benefit your expansion plans. When and where?",4,pseudonym
10,Boss,2040-10-01 08:29:00,"Boss, this is The Middleman. I can meet earlier as requested. Nemo Reef discussion is timely - I've noted increased interest in that area. Have some council updates that might benefit your expansion plans. When and where?",4,pseudonym
11,Boss,2040-10-01 08:32:00,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the usual spot by the marina. I'll bring the tourism portfolio with Nemo Reef projections. Curious about those council updates that might help our expansion.",4,pseudonym
11,The Middleman,2040-10-01 08:32:00,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the usual spot by the marina. I'll bring the tourism portfolio with Nemo Reef projections. Curious about those council updates that might help our expansion.",4,pseudonym
12,The Middleman,2040-10-01 08:34:00,"Boss, this is Middleman. I'll be at the marina tomorrow at 4PM. Just reviewed some council documents - there's a potential loophole in Nemo Reef protection zones we can discuss. I'll bring the relevant paperwork.",4,pseudonym
12,Boss,2040-10-01 08:34:00,"Boss, this is Middleman. I'll be at the marina tomorrow at 4PM. Just reviewed some council documents - there's a potential loophole in Nemo Reef protection zones we can discuss. I'll bring the relevant paperwork.",4,pseudonym
13,Serenity,2040-10-01 08:50:00,"Ahoy, this is the luxury yacht Serenity. I've heard you're familiar with these waters. My owner is looking for premium diving spots. Heard about Nemo Reef, but understand it's restricted. Any comparable alternatives you could recommend?",4,vessel
13,Mako,2040-10-01 08:50:00,"Ahoy, this is the luxury yacht Serenity. I've heard you're familiar with these waters. My owner is looking for premium diving spots. Heard about Nemo Reef, but understand it's restricted. Any comparable alternatives you could recommend?",4,vessel
15,Mako,2040-10-01 08:52:00,"Serenity, this is Mako. For premium diving comparable to Nemo Reef, try Azure Cove just 3 miles south. Less restricted, similar coral formations, and better visibility. We just documented excellent conditions there yesterday during our coastal survey.",2,vessel
15,Serenity,2040-10-01 08:52:00,"Serenity, this is Mako. For premium diving comparable to Nemo Reef, try Azure Cove just 3 miles south. Less restricted, similar coral formations, and better visibility. We just documented excellent conditions there yesterday during our coastal survey.",2,vessel
16,Serenity,2040-10-01 08:53:00,"Reef Guardian, this is Serenity. My owner is quite disappointed about Nemo Reef restrictions. Are there any special permits available for private vessels to access certain sections? We're willing to follow strict conservation guidelines.",4,vessel
16,Reef Guardian,2040-10-01 08:53:00,"Reef Guardian, this is Serenity. My owner is quite disappointed about Nemo Reef restrictions. Are there any special permits available for private vessels to access certain sections? We're willing to follow strict conservation guidelines.",4,vessel
17,Himark Harbor,2040-10-01 08:59:00,Harbor Master to Mako. Confirming your 07:00 departure today with Remora for Sailors Team's reconnaissance. Please remember to return before sunset and maintain distance from protected marine areas. Safe journey.,4,vessel
17,Mako,2040-10-01 08:59:00,Harbor Master to Mako. Confirming your 07:00 departure today with Remora for Sailors Team's reconnaissance. Please remember to return before sunset and maintain distance from protected marine areas. Safe journey.,4,vessel
20,Davis,2040-10-01 09:02:00,"Davis, Mako here. Just completed documentation of our sites. Coral Point has excellent visibility but too exposed for filming. Dolphin Bay offers privacy but those currents will be challenging for equipment setup. Heading back to Himark as scheduled.",4,person
20,Davis,2040-10-01 09:02:00,"Davis, Mako here. Just completed documentation of our sites. Coral Point has excellent visibility but too exposed for filming. Dolphin Bay offers privacy but those currents will be challenging for equipment setup. Heading back to Himark as scheduled.",4,person
21,Boss,2040-10-01 09:49:00,"Mrs. Money, this is Boss. After speaking with The Middleman, I'm confident about our Nemo Reef opportunity. He mentioned a potential loophole in protection zones. Let's discuss this during our 3PM meeting along with funding allocations.",4,pseudonym
21,Mrs. Money,2040-10-01 09:49:00,"Mrs. Money, this is Boss. After speaking with The Middleman, I'm confident about our Nemo Reef opportunity. He mentioned a potential loophole in protection zones. Let's discuss this during our 3PM meeting along with funding allocations.",4,pseudonym
22,Mrs. Money,2040-10-01 09:52:00,"Middleman, it's Mrs. Money. I've prepared those financial projections we discussed. Particularly interested in your thoughts on that Nemo Reef loophole before my meeting with Boss tomorrow. Available to talk this evening?",4,pseudonym
22,The Middleman,2040-10-01 09:52:00,"Middleman, it's Mrs. Money. I've prepared those financial projections we discussed. Particularly interested in your thoughts on that Nemo Reef loophole before my meeting with Boss tomorrow. Available to talk this evening?",4,pseudonym
24,Reef Guardian,2040-10-01 09:55:00,"Serenity, Reef Guardian here. I understand your disappointment, but Nemo Reef is strictly protected without special access permits. However, we can recommend several equally beautiful non-protected areas nearby. We're observing increased tourism pressure lately, which is why enforcement remains strict.",4,vessel
24,Serenity,2040-10-01 09:55:00,"Serenity, Reef Guardian here. I understand your disappointment, but Nemo Reef is strictly protected without special access permits. However, we can recommend several equally beautiful non-protected areas nearby. We're observing increased tourism pressure lately, which is why enforcement remains strict.",4,vessel
26,Serenity,2040-10-01 09:58:00,"Himark Harbor, this is luxury yacht Serenity. We're planning to anchor for the evening. Can you confirm availability for a 120-foot vessel requiring premium berth services? My owner would appreciate any local recommendations for exclusive dining options as well.",4,vessel
26,Himark Harbor,2040-10-01 09:58:00,"Himark Harbor, this is luxury yacht Serenity. We're planning to anchor for the evening. Can you confirm availability for a 120-foot vessel requiring premium berth services? My owner would appreciate any local recommendations for exclusive dining options as well.",4,vessel
28,Himark Harbor,2040-10-01 09:59:00,Himark Harbor to Serenity. Premium berth confirmed for your 120-foot vessel. Recommend 'The Pearl' for exclusive dining - waterfront views and renowned seafood. Harbor staff will assist with your berthing upon arrival.,4,vessel
28,Serenity,2040-10-01 09:59:00,Himark Harbor to Serenity. Premium berth confirmed for your 120-foot vessel. Recommend 'The Pearl' for exclusive dining - waterfront views and renowned seafood. Harbor staff will assist with your berthing upon arrival.,4,vessel
30,Paackland Harbor,2040-10-01 10:43:00,"Attention Remora, this is Paackland Harbor. We've observed your vessel approaching Nemo Reef's protected inner boundary. Please maintain appropriate distance from restricted zones as per maritime conservation regulations. Acknowledge receipt.",4,vessel
30,Remora,2040-10-01 10:43:00,"Attention Remora, this is Paackland Harbor. We've observed your vessel approaching Nemo Reef's protected inner boundary. Please maintain appropriate distance from restricted zones as per maritime conservation regulations. Acknowledge receipt.",4,vessel
32,Remora,2040-10-01 10:46:00,"Paackland Harbor, this is Remora. Acknowledging your warning. We'll maintain proper distance from Nemo Reef's protected areas. Currently surveying locations with Rodriguez for Sailor Shifts Team's upcoming video shoot. Will respect all conservation regulations.",4,vessel
32,Paackland Harbor,2040-10-01 10:46:00,"Paackland Harbor, this is Remora. Acknowledging your warning. We'll maintain proper distance from Nemo Reef's protected areas. Currently surveying locations with Rodriguez for Sailor Shifts Team's upcoming video shoot. Will respect all conservation regulations.",4,vessel
35,Paackland Harbor,2040-10-01 10:48:00,"This is Paackland Harbor to Oceanus City Council. Reporting increased tourism vessel activity near protected areas, specifically Nemo Reef. Have issued standard reminders about conservation regulations. Recommend additional signage or patrol consideration for upcoming tourism season.",4,vessel
35,Oceanus City Council,2040-10-01 10:48:00,"This is Paackland Harbor to Oceanus City Council. Reporting increased tourism vessel activity near protected areas, specifically Nemo Reef. Have issued standard reminders about conservation regulations. Recommend additional signage or patrol consideration for upcoming tourism season.",4,vessel
37,Oceanus City Council,2040-10-01 10:51:00,"Liam, this is Oceanus City Council. We've received reports from Paackland Harbor about increased tourism vessels near Nemo Reef. Please coordinate with harbor masters to enhance conservation patrols and consider temporary additional signage for protected areas.",4,vessel
